City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
394,cuamba,-14.8031,36.5372,66.38,97,27,1.77,MZ,1643586545
395,talikota,16.4833,76.3167,67.51,42,0,1.99,IN,1643586545
396,vanimo,-2.6741,141.3028,76.8,89,100,6.69,PG,1643586523
397,vuyyuru,16.3667,80.85,60.31,62,1,3.29,IN,1643586546
398,vallenar,-28.5708,-70.7581,69.78,58,0,5.06,CL,1643586314
399,tomatlan,19.9333,-105.25,82.26,46,1,7.99,MX,1643586547
400,chokurdakh,70.6333,147.9167,-29.65,96,16,2.21,RU,1643586462
401,anito,12.4497,125.2886,79.32,84,57,2.42,PH,1643586547
402,kinrooi,51.1476,5.7385,42.6,77,75,10.0,BE,1643586548
403,merrill,45.1805,-89.6835,24.57,69,75,0.0,US,1643586548
404,chokwe,-24.5333,32.9833,70.97,91,95,3.13,MZ,1643586549
405,mabaruma,8.2,-59.7833,73.02,86,30,3.94,GY,1643586277
406,kirakira,-10.4544,161.9205,83.95,76,88,5.73,SB,1643586549
407,saint-pierre,-21.3393,55.4781,76.68,78,20,8.05,RE,1643586550
408,uyemskiy,64.4743,40.8524,15.85,92,100,2.24,RU,1643586550
409,bubaque,11.2833,-15.8333,77.99,72,58,12.17,GW,1643586550
410,mehamn,71.0357,27.8492,25.29,82,97,2.17,NO,1643586551
411,goundam,16.4145,-3.6708,72.84,14,64,10.67,ML,1643586551
412,port augusta,-32.5,137.7667,92.71,41,99,4.76,AU,1643586451
413,hofn,64.2539,-15.2082,27.39,50,18,23.53,IS,1643586552
414,mbandaka,0.0487,18.2603,74.25,41,100,3.02,CD,1643586487
415,carutapera,-1.195,-46.02,74.59,94,100,7.34,BR,1643586552
416,wuda,39.4994,106.7117,10.0,40,0,1.41,CN,1643586553
417,hendek,40.7994,30.7481,32.32,89,98,3.51,TR,1643586553
418,seymchan,62.8833,152.4333,-15.59,91,84,5.86,RU,1643586554
419,olafsvik,64.8945,-23.7142,27.54,55,100,25.48,IS,1643586554
420,sola,-13.8833,167.55,83.07,84,75,4.61,VU,1643586554
421,luxor,25.6989,32.6421,50.05,53,0,0.0,EG,1643586555
422,bafra,41.5678,35.9069,46.18,76,100,7.07,TR,1643586555
423,manjacaze,-24.7117,33.8828,69.31,90,56,3.38,MZ,1643586556
424,gornopravdinsk,60.05,69.9,-4.65,99,99,3.78,RU,1643586556
425,iralaya,15.0,-83.2333,77.09,73,86,17.85,HN,1643586556
426,bom jesus,-9.0744,-44.3586,72.59,91,50,1.16,BR,1643586557
427,yola,9.2,12.4833,68.05,23,43,2.13,NG,1643586557
428,harper,4.375,-7.7169,79.23,86,54,6.42,LR,1643586558
429,marakkanam,12.2,79.95,74.95,81,46,4.16,IN,1643586559
430,mandalgovi,45.7625,106.2708,-1.46,81,8,7.87,MN,1643586559
431,olbia,40.9214,9.4856,48.25,87,0,5.75,IT,1643586559
432,manacapuru,-3.2997,-60.6206,75.78,92,57,3.62,BR,1643586560
433,vostok,46.4856,135.8833,-7.98,92,52,1.21,RU,1643586560
434,lago da pedra,-4.3333,-45.1667,73.17,92,71,0.54,BR,1643586561
435,babu,24.4167,111.5167,41.27,91,100,4.9,CN,1643586561
436,half moon bay,37.4636,-122.4286,66.79,70,0,5.99,US,1643586375
437,cabatuan,10.8794,122.486,77.86,86,46,6.26,PH,1643586562
438,labytnangi,66.6572,66.4183,-14.08,100,96,1.79,RU,1643586562
439,bonthe,7.5264,-12.505,77.05,89,12,4.32,SL,1643586563
440,flinders,-34.5833,150.8552,84.06,69,17,5.01,AU,1643586352
441,saint-augustin,51.226,-58.6502,11.95,82,99,28.32,CA,1643586563
442,dzhebariki-khaya,62.2167,135.8,-32.67,100,99,1.5,RU,1643586624
443,nyimba,-14.5566,30.8149,67.32,98,94,1.92,ZM,1643586625
444,san-pedro,4.7485,-6.6363,78.4,90,44,6.51,CI,1643586625
445,kavieng,-2.5744,150.7967,81.68,76,93,1.72,PG,1643586625
446,moussoro,13.6408,16.4901,61.65,18,2,13.0,TD,1643586626
447,zhangye,38.9342,100.4517,15.28,39,83,1.34,CN,1643586626
448,juazeiro,-9.4117,-40.4986,77.18,88,0,2.3,BR,1643586627
449,maniitsoq,65.4167,-52.9,6.66,77,100,15.95,GL,1643586627
450,quatre cocos,-20.2078,57.7625,78.91,82,100,16.84,MU,1643586628
451,eureka,40.8021,-124.1637,56.68,79,89,2.37,US,1643586628
452,anloga,5.7947,0.8973,73.62,70,100,0.81,GH,1643586629
453,sayat,38.7839,63.8803,30.07,67,3,5.53,TM,1643586629
454,yaring,6.8662,101.3689,71.64,88,54,5.88,TH,1643586629
455,manbij,36.5281,37.9549,36.37,93,98,8.93,SY,1643586630
456,lahaina,20.8783,-156.6825,84.2,61,3,10.11,US,1643586596
457,west bay,19.3667,-81.4167,69.08,62,40,1.01,KY,1643586631
458,saint anthony,45.0205,-93.218,21.22,70,0,4.61,US,1643586632
459,toyokawa,34.8167,137.4,43.02,33,49,12.28,JP,1643586633
